iter	Passed	Remaining
177	1868	8628
178	1878	8617
179	1889	8609
180	1904	8616
181	1915	8610
182	1927	8603
183	1935	8583
184	1945	8569
185	1958	8571
186	1966	8549
187	1976	8537
188	1983	8512
189	1992	8494
190	2003	8484
191	2014	8478
192	2026	8473
193	2037	8463
194	2044	8440
195	2054	8427
196	2061	8404
197	2070	8385
198	2077	8360
199	2088	8352
200	2098	8341
201	2111	8342
202	2121	8330
203	2134	8330
204	2144	8317
205	2156	8312
206	2167	8303
207	2176	8287
208	2186	8276
209	2196	8263
210	2205	8247
211	2214	8232
212	2225	8224
213	2234	8207
214	2245	8198
215	2255	8186
216	2266	8178
217	2274	8157
218	2282	8138
219	2292	8127
220	2303	8118
221	2312	8105
222	2323	8095
223	2333	8085
224	2345	8078
225	2356	8069
226	2365	8055
227	2373	8035
228	2386	8033
229	2393	8012
230	2402	7996
231	2411	7982
232	2423	7979
233	2435	7971
234	2446	7965
235	2457	7956
236	2466	7940
237	2473	7919
238	2482	7904
239	2489	7883
240	2498	7869
241	2510	7863
242	2521	7856
243	2530	7841
244	2537	7820
245	2544	7800
246	2554	7788
247	2564	7775
248	2574	7765
249	2584	7753
250	2594	7741
251	2606	7737
252	2616	7724
253	2626	7715
254	2636	7703
255	2644	7685
256	2653	7671
257	2665	7664
258	2674	7653
259	2685	7644
260	2698	7640
261	2706	7624
262	2713	7605
263	2725	7597
264	2734	7585
265	2745	7577
266	2758	7571
267	2768	7561
268	2779	7553
269	2789	7542
270	2798	7527
271	2808	7516
272	2816	7501
273	2828	7494
274	2840	7488
275	2851	7479
276	2864	7477
277	2875	7467
278	2884	7453
279	2891	7435
280	2900	7420
281	2907	7403
282	2915	7387
283	2926	7377
284	2936	7368
285	2948	7359
286	2959	7353
287	2972	7347
288	2980	7332
289	2988	7315
290	2999	7307
291	3009	7296
292	3019	7286
293	3029	7273
294	3036	7256
295	3047	7247
296	3059	7240
297	3068	7228
298	3075	7210
299	3086	7202
300	3095	7188
301	3104	7174
302	3113	7160
303	3121	7147
304	3130	7132
305	3141	7125
306	3155	7122
307	3164	7109
308	3177	7105
309	3186	7093
310	3199	7087
311	3207	7072
312	3219	7065
313	3226	7049
314	3233	7032
315	3241	7017
316	3251	7004
317	3260	6993
318	3273	6987
319	3284	6978
320	3292	6964
321	3302	6953
322	3313	6944
323	3323	6934
324	3333	6922
325	3344	6914
326	3355	6905
327	3364	6893
328	3376	6886
329	3386	6876
330	3395	6863
331	3404	6849
332	3411	6832
333	3422	6825
334	3432	6813
335	3441	6800
336	3451	6789
337	3464	6785
338	3474	6774
339	3484	6763
340	3491	6747
341	3498	6731
342	3505	6714
343	3515	6704
344	3522	6687
345	3536	6684
346	3546	6674
347	3559	6669
348	3569	6658
349	3580	6649
350	3592	6642
351	3600	6627
352	3612	6620
353	3621	6608
354	3632	6599
355	3644	6592
356	3655	6584
357	3665	6573
358	3673	6559
359	3686	6552
360	3695	6541
361	3704	6529
362	3712	6514
363	3722	6504
364	3732	6494
365	3740	6480
366	3753	6474
367	3766	6468
368	3777	6460
369	3787	6448
370	3799	6441
371	3808	6429
372	3817	6416
373	3830	6411
374	3840	6400
375	3850	6390
376	3858	6376
377	3869	6367
378	3878	6354
379	3885	6339
380	3893	6324
381	3902	6313
382	3915	6307
383	3924	6296
384	3932	6282
385	3942	6271
386	3954	6263
387	3964	6253
388	3976	6246
389	3988	6238
390	3996	6225
391	4005	6212
392	4016	6203
393	4023	6188
394	4036	6181
395	4048	6174
396	4057	6162
397	4068	6154
398	4076	6140
399	4084	6127
400	4097	6120
401	4105	6107
402	4116	6098
403	4125	6086
404	4134	6073
405	4145	6064
406	4153	6051
407	4163	6041
408	4173	6030
